lncRNA,mature_mirna_id,target_symbol
NEAT1,hsa-let-7a-5p,ARG2
NEAT1,hsa-let-7a-5p,CCR7
NEAT1,hsa-let-7a-5p,AURKB
NEAT1,hsa-let-7b-5p,COL3A1
NEAT1,hsa-let-7d-5p,COL3A1
NEAT1,hsa-let-7e-5p,IGF1
NEAT1,hsa-let-7e-5p,AURKB
NEAT1,hsa-let-7f-5p,POSTN
NEAT1,hsa-let-7g-5p,FN1
NEAT1,hsa-let-7i-5p,IGF1
NEAT1,hsa-let-7i-5p,SOCS1
NEAT1,hsa-let-7i-5p,ASCL1
NEAT1,hsa-let-7i-5p,AURKB
NEAT1,hsa-miR-1-3p,HAND2
NEAT1,hsa-miR-1-3p,FN1
NEAT1,hsa-miR-1-3p,IGF1
NEAT1,hsa-miR-1-3p,EDN1
NEAT1,hsa-miR-101-3p,RUNX1
NEAT1,hsa-miR-106a-5p,RUNX3
NEAT1,hsa-miR-106a-5p,FAS
NEAT1,hsa-miR-106a-5p,RUNX1
NEAT1,hsa-miR-106b-5p,MMP2
NEAT1,hsa-miR-106b-5p,RUNX3
NEAT1,hsa-miR-106b-5p,CYBB
NEAT1,hsa-miR-10a-5p,CHL1
NEAT1,hsa-miR-10a-5p,MMP14
NEAT1,hsa-miR-122-5p,SOCS1
NEAT1,hsa-miR-122-5p,HMOX1
NEAT1,hsa-miR-124-3p,VIM
NEAT1,hsa-miR-124-3p,CCN2
NEAT1,hsa-miR-124-3p,GRIA1
NEAT1,hsa-miR-125a-5p,EDN1
NEAT1,hsa-miR-125b-5p,GLI1
NEAT1,hsa-miR-125b-5p,MMP2
NEAT1,hsa-miR-125b-5p,DKK3
NEAT1,hsa-miR-125b-5p,FES
NEAT1,hsa-miR-125b-5p,Fas
NEAT1,hsa-miR-125b-5p,BMPR1B
NEAT1,hsa-miR-125b-5p,SMO
NEAT1,hsa-miR-128-3p,IGF1
NEAT1,hsa-miR-129-5p,NR4A2
NEAT1,hsa-miR-129-5p,VIM
NEAT1,hsa-miR-129-5p,COL1A1
NEAT1,hsa-miR-129-5p,IGF1
NEAT1,hsa-miR-130a-3p,RUNX3
NEAT1,hsa-miR-130a-3p,IL18
NEAT1,hsa-miR-130b-3p,MMP2
NEAT1,hsa-miR-130b-3p,RUNX3
NEAT1,hsa-miR-130b-3p,IGF1
NEAT1,hsa-miR-132-3p,MUC13
NEAT1,hsa-miR-133a-3p,NGFR
NEAT1,hsa-miR-133a-3p,COL1A1
NEAT1,hsa-miR-133a-3p,IGF1
NEAT1,hsa-miR-133a-3p,MMP14
NEAT1,hsa-miR-133a-3p,CCN2
NEAT1,hsa-miR-133b,GLI1
NEAT1,hsa-miR-133b,FAS
NEAT1,hsa-miR-133b,MMP14
NEAT1,hsa-miR-133b,CCN2
NEAT1,hsa-miR-134-5p,VIM
NEAT1,hsa-miR-138-5p,VIM
NEAT1,hsa-miR-138-5p,TWIST2
DLGAP1-AS1,hsa-miR-138-5p,VIM
DLGAP1-AS1,hsa-miR-138-5p,TWIST2
NEAT1,hsa-miR-140-3p,MARCKSL1
NEAT1,hsa-miR-140-3p,FN1
NEAT1,hsa-miR-141-3p,PAPPA
NEAT1,hsa-miR-142-5p,SOCS1
NEAT1,hsa-miR-144-3p,FGG
NEAT1,hsa-miR-144-5p,RUNX1
NEAT1,hsa-miR-146a-5p,FAS
NEAT1,hsa-miR-146a-5p,BRCA2
NEAT1,hsa-miR-146a-5p,CCL5
NEAT1,hsa-miR-146a-5p,SLPI
NEAT1,hsa-miR-146a-5p,CFH
NEAT1,hsa-miR-148a-3p,RUNX3
CASC15,hsa-miR-148a-3p,RUNX3
GAS6-AS1,hsa-miR-148a-3p,RUNX3
NEAT1,hsa-miR-148b-3p,CYBB
CASC15,hsa-miR-148b-3p,CYBB
GAS6-AS1,hsa-miR-148b-3p,CYBB
NEAT1,hsa-miR-150-5p,MMP14
NEAT1,hsa-miR-152-3p,FGFR3
CASC15,hsa-miR-152-3p,FGFR3
GAS6-AS1,hsa-miR-152-3p,FGFR3
NEAT1,hsa-miR-17-5p,MMP2
NEAT1,hsa-miR-17-5p,TLR7
NEAT1,hsa-miR-17-5p,BRCA2
NEAT1,hsa-miR-17-5p,RUNX1
NEAT1,hsa-miR-17-5p,IGFBP3
NEAT1,hsa-miR-181a-5p,COL16A1
NEAT1,hsa-miR-181a-5p,RGS16
NEAT1,hsa-miR-181a-5p,RUNX1
NEAT1,hsa-miR-181b-5p,ELN
NEAT1,hsa-miR-181b-5p,SPP1
NEAT1,hsa-miR-182-5p,CHL1
NEAT1,hsa-miR-182-5p,RARG
NEAT1,hsa-miR-183-5p,DKK3
NEAT1,hsa-miR-185-5p,COL1A1
NEAT1,hsa-miR-18a-5p,RUNX1
NEAT1,hsa-miR-18a-5p,CCN2
NR2F2-AS1,hsa-miR-18a-5p,RUNX1
NR2F2-AS1,hsa-miR-18a-5p,CCN2
NEAT1,hsa-miR-18b-5p,IGF1
NEAT1,hsa-miR-18b-5p,CCN2
NR2F2-AS1,hsa-miR-18b-5p,IGF1
NR2F2-AS1,hsa-miR-18b-5p,CCN2
NEAT1,hsa-miR-193a-3p,MMP14
NEAT1,hsa-miR-195-5p,ELN
NEAT1,hsa-miR-195-5p,CCL4
NEAT1,hsa-miR-196a-5p,LSP1
NEAT1,hsa-miR-196a-5p,HMOX1
NEAT1,hsa-miR-196b-5p,FAS
NEAT1,hsa-miR-199a-3p,IGF1
LINC01013,hsa-miR-199a-5p,CCR7
LINC01013,hsa-miR-199a-5p,EDN1
PURPL,hsa-miR-199a-5p,CCR7
PURPL,hsa-miR-199a-5p,EDN1
NEAT1,hsa-miR-19a-3p,NR4A2
NEAT1,hsa-miR-19a-3p,TLR7
NEAT1,hsa-miR-19a-3p,SOCS1
NR2F2-AS1,hsa-miR-19a-3p,NR4A2
NR2F2-AS1,hsa-miR-19a-3p,TLR7
NR2F2-AS1,hsa-miR-19a-3p,SOCS1
GAS6-AS1,hsa-miR-19a-3p,NR4A2
GAS6-AS1,hsa-miR-19a-3p,TLR7
GAS6-AS1,hsa-miR-19a-3p,SOCS1
NEAT1,hsa-miR-19b-3p,SOCS1
NR2F2-AS1,hsa-miR-19b-3p,SOCS1
GAS6-AS1,hsa-miR-19b-3p,SOCS1
NEAT1,hsa-miR-200b-3p,FN1
NEAT1,hsa-miR-200c-3p,FN1
NEAT1,hsa-miR-200c-3p,CDH11
NEAT1,hsa-miR-200c-3p,NTRK2
NEAT1,hsa-miR-204-5p,VIM
NEAT1,hsa-miR-204-5p,NTRK2
NEAT1,hsa-miR-204-5p,CYBB
NEAT1,hsa-miR-205-5p,CCN2
NEAT1,hsa-miR-206,NR4A2
NEAT1,hsa-miR-20a-5p,RUNX3
NEAT1,hsa-miR-20a-5p,RUNX1
NEAT1,hsa-miR-20b-5p,EPHB4
NEAT1,hsa-miR-214-3p,CCL5
NEAT1,hsa-miR-214-3p,ALPK2
NEAT1,hsa-miR-214-3p,PAPPA
CASC15,hsa-miR-214-3p,CCL5
CASC15,hsa-miR-214-3p,ALPK2
CASC15,hsa-miR-214-3p,PAPPA
NEAT1,hsa-miR-217,NR4A2
NEAT1,hsa-miR-218-5p,MMP2
NEAT1,hsa-miR-218-5p,TFF1
NEAT1,hsa-miR-218-5p,LAMB3
NEAT1,hsa-miR-218-5p,HMOX1
NEAT1,hsa-miR-218-5p,SMO
NEAT1,hsa-miR-218-5p,SFRP2
NEAT1,hsa-miR-22-3p,LGALS9
NEAT1,hsa-miR-22-3p,CSF1R
NEAT1,hsa-miR-22-3p,BMPR1B
NEAT1,hsa-miR-22-3p,LGALS1
NEAT1,hsa-miR-22-3p,NTRK2
NEAT1,hsa-miR-22-3p,MMP14
NEAT1,hsa-miR-221-3p,MMP2
NEAT1,hsa-miR-221-3p,RUNX1
NEAT1,hsa-miR-221-3p,SOCS1
NEAT1,hsa-miR-221-3p,CORO1A
PURPL,hsa-miR-221-3p,MMP2
PURPL,hsa-miR-221-3p,RUNX1
PURPL,hsa-miR-221-3p,SOCS1
PURPL,hsa-miR-221-3p,CORO1A
NEAT1,hsa-miR-222-3p,CORO1A
PURPL,hsa-miR-222-3p,CORO1A
NEAT1,hsa-miR-224-5p,SERPINF2
NEAT1,hsa-miR-23a-3p,FAS
NEAT1,hsa-miR-23a-3p,HOXB4
NR2F2-AS1,hsa-miR-23a-3p,FAS
NR2F2-AS1,hsa-miR-23a-3p,HOXB4
NEAT1,hsa-miR-23b-3p,VCAN
NR2F2-AS1,hsa-miR-23b-3p,VCAN
DIO3OS,hsa-miR-24-3p,PDGFRB
DIO3OS,hsa-miR-24-3p,MMP14
DIO3OS,hsa-miR-24-3p,HMOX1
DIO3OS,hsa-miR-24-3p,AURKB
DIO3OS,hsa-miR-24-3p,FGFR3
DIO3OS,hsa-miR-24-3p,CORO1A
NEAT1,hsa-miR-24-3p,PDGFRB
NEAT1,hsa-miR-24-3p,MMP14
NEAT1,hsa-miR-24-3p,HMOX1
NEAT1,hsa-miR-24-3p,AURKB
NEAT1,hsa-miR-24-3p,FGFR3
NEAT1,hsa-miR-24-3p,CORO1A
LINC01915,hsa-miR-25-3p,HAND2
PURPL,hsa-miR-25-3p,HAND2
NEAT1,hsa-miR-26a-5p,IGF1
NEAT1,hsa-miR-26b-5p,IGF1
NEAT1,hsa-miR-26b-5p,CCN2
NEAT1,hsa-miR-27a-3p,SIGLEC1
NEAT1,hsa-miR-27a-3p,IGF1
NEAT1,hsa-miR-27b-3p,CDH11
NEAT1,hsa-miR-27b-3p,RUNX1
NEAT1,hsa-miR-28-5p,IGF1
GAS6-AS1,hsa-miR-28-5p,IGF1
PURPL,hsa-miR-28-5p,IGF1
NEAT1,hsa-miR-296-5p,NGFR
NEAT1,hsa-miR-299-5p,SPP1
NEAT1,hsa-miR-29a-3p,RASGRP1
NEAT1,hsa-miR-29a-3p,MMP2
NEAT1,hsa-miR-29a-3p,SERPINH1
NEAT1,hsa-miR-29a-3p,FGA
NEAT1,hsa-miR-29a-3p,COL4A2
NEAT1,hsa-miR-29a-3p,PDGFRB
NEAT1,hsa-miR-29a-3p,IGF1
NEAT1,hsa-miR-29a-3p,ELN
NEAT1,hsa-miR-29a-3p,GPR85
NEAT1,hsa-miR-29a-3p,COL3A1
NEAT1,hsa-miR-29a-3p,FGG
NEAT1,hsa-miR-29a-3p,SFRP2
PURPL,hsa-miR-29a-3p,RASGRP1
PURPL,hsa-miR-29a-3p,MMP2
PURPL,hsa-miR-29a-3p,SERPINH1
PURPL,hsa-miR-29a-3p,FGA
PURPL,hsa-miR-29a-3p,COL4A2
PURPL,hsa-miR-29a-3p,PDGFRB
PURPL,hsa-miR-29a-3p,IGF1
PURPL,hsa-miR-29a-3p,ELN
PURPL,hsa-miR-29a-3p,GPR85
PURPL,hsa-miR-29a-3p,COL3A1
PURPL,hsa-miR-29a-3p,FGG
PURPL,hsa-miR-29a-3p,SFRP2
NEAT1,hsa-miR-29b-3p,MMP2
NEAT1,hsa-miR-29b-3p,SERPINH1
NEAT1,hsa-miR-29b-3p,COL1A1
NEAT1,hsa-miR-29b-3p,FGA
NEAT1,hsa-miR-29b-3p,COL4A2
NEAT1,hsa-miR-29b-3p,PDGFRB
NEAT1,hsa-miR-29b-3p,COL3A1
NEAT1,hsa-miR-29b-3p,FGG
PURPL,hsa-miR-29b-3p,MMP2
PURPL,hsa-miR-29b-3p,SERPINH1
PURPL,hsa-miR-29b-3p,COL1A1
PURPL,hsa-miR-29b-3p,FGA
PURPL,hsa-miR-29b-3p,COL4A2
PURPL,hsa-miR-29b-3p,PDGFRB
PURPL,hsa-miR-29b-3p,COL3A1
PURPL,hsa-miR-29b-3p,FGG
NEAT1,hsa-miR-29c-3p,MMP2
NEAT1,hsa-miR-29c-3p,SERPINH1
NEAT1,hsa-miR-29c-3p,COL1A1
NEAT1,hsa-miR-29c-3p,FGA
NEAT1,hsa-miR-29c-3p,COL4A2
NEAT1,hsa-miR-29c-3p,PDGFRB
NEAT1,hsa-miR-29c-3p,COL15A1
NEAT1,hsa-miR-29c-3p,COL3A1
PURPL,hsa-miR-29c-3p,MMP2
PURPL,hsa-miR-29c-3p,SERPINH1
PURPL,hsa-miR-29c-3p,COL1A1
PURPL,hsa-miR-29c-3p,FGA
PURPL,hsa-miR-29c-3p,COL4A2
PURPL,hsa-miR-29c-3p,PDGFRB
PURPL,hsa-miR-29c-3p,COL15A1
PURPL,hsa-miR-29c-3p,COL3A1
NEAT1,hsa-miR-301a-3p,RUNX3
NEAT1,hsa-miR-302d-3p,NR4A2
MSC-AS1,hsa-miR-302d-3p,NR4A2
NEAT1,hsa-miR-30a-5p,VIM
GAS6-AS1,hsa-miR-30a-5p,VIM
NEAT1,hsa-miR-30b-5p,PDGFRB
NEAT1,hsa-miR-30b-5p,SOCS1
GAS6-AS1,hsa-miR-30b-5p,PDGFRB
GAS6-AS1,hsa-miR-30b-5p,SOCS1
NEAT1,hsa-miR-30c-5p,VIM
NEAT1,hsa-miR-30c-5p,CCN2
GAS6-AS1,hsa-miR-30c-5p,VIM
GAS6-AS1,hsa-miR-30c-5p,CCN2
NEAT1,hsa-miR-30d-5p,SOCS1
GAS6-AS1,hsa-miR-30d-5p,SOCS1
NEAT1,hsa-miR-320a,FAS
NEAT1,hsa-miR-320a,VIM
NEAT1,hsa-miR-320a,AQP1
NR2F2-AS1,hsa-miR-320a,FAS
NR2F2-AS1,hsa-miR-320a,VIM
NR2F2-AS1,hsa-miR-320a,AQP1
NEAT1,hsa-miR-324-5p,GLI1
NEAT1,hsa-miR-324-5p,SMO
NEAT1,hsa-miR-326,GLI1
NEAT1,hsa-miR-326,SMO
GAS6-AS1,hsa-miR-326,GLI1
GAS6-AS1,hsa-miR-326,SMO
NEAT1,hsa-miR-338-3p,SMO
NEAT1,hsa-miR-34a-5p,NR4A2
NEAT1,hsa-miR-34a-5p,CSF1R
NEAT1,hsa-miR-34a-5p,PDGFRB
NEAT1,hsa-miR-34a-5p,CYBB
NEAT1,hsa-miR-34a-5p,TREM2
NEAT1,hsa-miR-34c-5p,PDGFRB
NEAT1,hsa-miR-34c-5p,RARG
NEAT1,hsa-miR-372-3p,NR4A2
MSC-AS1,hsa-miR-372-3p,NR4A2
NEAT1,hsa-miR-423-5p,TFF1
NEAT1,hsa-miR-425-5p,FGFR3
DLGAP1-AS1,hsa-miR-425-5p,FGFR3
NEAT1,hsa-miR-4262,SPP1
NEAT1,hsa-miR-4295,RUNX3
NEAT1,hsa-miR-433-3p,GBP2
NEAT1,hsa-miR-449a,MFAP4
NEAT1,hsa-miR-483-3p,IGF1
NEAT1,hsa-miR-483-3p,CCN2
GAS6-AS1,hsa-miR-483-3p,IGF1
GAS6-AS1,hsa-miR-483-3p,CCN2
NEAT1,hsa-miR-486-5p,CIT
NEAT1,hsa-miR-490-3p,ABCC2
NEAT1,hsa-miR-490-3p,PAPPA
NEAT1,hsa-miR-491-5p,MMP2
NEAT1,hsa-miR-495-3p,RUNX3
NEAT1,hsa-miR-495-3p,PTP4A3
NEAT1,hsa-miR-506-3p,VIM
NEAT1,hsa-miR-519d-3p,MMP2
NEAT1,hsa-miR-519d-3p,MKI67
NEAT1,hsa-miR-520g-3p,MMP2
NEAT1,hsa-miR-524-5p,MMP2
NEAT1,hsa-miR-532-5p,RUNX3
NEAT1,hsa-miR-532-5p,CXCL2
NEAT1,hsa-miR-582-3p,DKK3
NEAT1,hsa-miR-708-5p,MMP2
GAS6-AS1,hsa-miR-708-5p,MMP2
PURPL,hsa-miR-708-5p,MMP2
NEAT1,hsa-miR-758-3p,TLR7
NEAT1,hsa-miR-9-5p,RAB34
NEAT1,hsa-miR-9-5p,PDGFRB
NEAT1,hsa-miR-9-5p,RUNX1
LINC01915,hsa-miR-92a-3p,IKZF1
PURPL,hsa-miR-92a-3p,IKZF1
LINC01915,hsa-miR-92b-3p,DKK3
PURPL,hsa-miR-92b-3p,DKK3
NEAT1,hsa-miR-98-5p,IGF1
NEAT1,hsa-miR-98-5p,CCL5
NEAT1,hsa-miR-98-5p,EDN1
